a,b,c
-4.495699633777455e6,5.1248038241402265e6,-6.453081525864354e6
-541766.3488944027,-2.280526538123064e6,-5.998229280765486e6
-2.851001153519176e6,1.8177966669799509e6,3.520628082104057e6
-2.379728030318139e6,1.396984036872934e6,-7.269789929563097e6
4.33182248112143e6,1.0275238627457397e7,4.80805841016473e6
591520.940992018,1.2454707753497139e6,2.943478653166421e6
-1.18828522792404e7,-901618.74911571,2.5065204691569665e6
-1.81399469714897e6,1.156310880313477e6,1.1886741262512768e7
1.5525233221706208e6,-389462.06846558297,3.8714098728391696e6
-3.3086742668167423e6,-664272.3654785798,-2.540011275297894e6
1.6741330418260146e6,5.50719778325944e6,-7.638282136943701e6
3.195710558089148e6,-4.880332345533194e6,1.6702031640799304e6
3.8062782257614685e6,7.15263629246324e6,-1.4093998433452612e6
-1.010915733647031e7,1.2757967452212968e6,-601973.1583834523
-1.52617990737146e6,-6.408177813733082e6,-1.888519497270388e6
-701870.813995621,-6.003994499228746e6,-1.9992414384633978e6
7.570561823759376e6,3.823152556013543e6,-1.1531907030894922e6
2.86257191993003e6,-835659.0747270036,4.617977354427708e6
4.077954768262174e6,-496771.51126680104,-4.814234913944494e6
117477.97077729892,3.0488560828474183e6,4.0468299580429974e6
2.634598863491711e6,-3.963666899632025e6,1.990546417875615e6
4.885951863504895e6,73215.58171133361,902381.548401147
-890070.5644238169,-4.07319478810392e6,-2.0171893496660874e6
9.619196335043462e6,-4.250625704172376e6,2.817524967506172e6
-4.301774769559886e6,-4.537466379188356e6,823532.225938668
2.5719218854292934e6,-2.318359915961647e6,-2.7993490194384106e6
-3.9908412960245255e6,4.157047850712065e6,3.288105750699804e6
-797383.6028828302,8.2497290304790875e6,-4.612360177150076e6
5.801299759140562e6,1.0862594009331719e6,66797.58238262699
2.7276937752922294e6,8.52877000390936e6,5.154102247463666e6
8.437218842031382e6,1.2755521845757486e6,9.883076720460186e6
3.298532245173145e6,-3.1609510402579745e6,-7.124799267189962e6
-3.7060339299143055e6,-3.9680985807308964e6,5.263877653180205e6
-4.749729290026077e6,-5.538203981802002e6,-1.7573404663158131e6
3.7421956532254247e6,180372.0309868746,-1.734623547074988e6
6036.889720908419,2.8446249917270276e6,4.0316377075314703e6
-2.9206989067170867e6,1.4507905691044596e6,3.3950767842760147e6
3.805999104735978e6,-5.241376482173306e6,-1.6258516942490381e6
-2.5689609752445095e6,7.651790525723022e6,-171949.49613478783
6.346785080721718e6,424972.00909704884,1.1396547197880764e6
1.1461300719880199e6,1.7067676426236085e6,-2.0577633137076534e6
-4.682284150413932e6,3.282436040416703e6,6.957051681512962e6
123732.4720153439,-3.7719878395594447e6,-1.3119235846614836e7
6.094066906432555e6,6495.539788518976,1.6352885350744708e6
-3.963930537183013e6,5.916869238050038e6,-2.428535172647048e6
517463.0079999573,-4.2689992275827145e6,-2.3797776487202514e6
-6.936773918348832e6,-3.9541898799240845e6,1.4478837473128062e7
-3.0793989305513697e6,5.133919782762611e6,678973.679771218
3.2028512405737615e6,4.384357540709323e6,-4.972756986875433e6
-8.40892766834658e6,-2.8940475672620987e6,-3.4943460277859727e6
-487707.0578632393,-1.022624734592372e6,-1.1549463868505077e6
-6.451748883963938e6,2.859095477085093e6,-3.988469724368308e6
2.819671001768613e6,8.281363956425631e6,336526.76666734356
427169.2625600884,-4.955504617540299e6,1.1245500601200722e6
1.365177447903187e6,3.78012331914828e6,3.0002923237223485e6
3.8740023385608927e6,-510449.8506016401,-7.498566447937712e6
358667.3686429372,187733.09672134326,6.262684898725399e6
2.483535582194275e6,-9.644810635651592e6,-1.6949212420882215e6
9.787769673057625e6,1.2171035440008841e7,-6.8322895922221225e6
-295520.3639848123,4.704543501173492e6,-742909.8841405481
6.749933592676409e6,-918100.4938290541,2.164720636622449e6
6.750498072286133e6,5.331272606583324e6,-5.332979622893119e6
3.380631275311297e6,5.198566064912018e6,-3.038832534812622e6
8.013363383505776e6,735291.7861931517,-1.1280749853772752e6
844382.0845337178,-3.168958204233895e6,1.8532627589270014e6
8.667110982253283e6,-5.817755398446017e6,-4.7741114360665865e6
5.015555078526502e6,5.46407302386076e6,2.82175571226373e6
2.0018322255628756e6,-9.031568796623632e6,1.3837252279937048e6
-638084.5489607555,4.1269590779908965e6,-5.202761166822873e6
852003.6543813522,-1.453132273923098e6,5.920390144071845e6
-586978.8291487597,3.7868129209446427e6,-1.206300787042554e6
-326307.74397977674,-2.001674172571598e6,1.1322095270204528e6
4.157504620687867e6,-7.243431014232013e6,2.8496095339793474e6
-8.745025938592004e6,-7.049115444420622e6,1.4952355183494253e7
-4.439592123439604e6,3.973154245127441e6,-2.723033510691488e6
-2.7701208781767823e6,8.767289063358098e6,-935140.1181438232
1.4368342912632609e6,-154494.89568797618,567874.241403426
-3.556235388577539e6,823879.1294727245,-230874.68070160248
21815.4025408882,357965.89390852407,3.782944002839275e6
-229023.879572178,-4.979159855861928e6,2.8521250514441077e6
-1.8258737025787735e6,5.494933319873414e6,629346.0143765584
-7.871620869738078e6,-899495.0673407945,-1.0297073334212333e7
4.873224546758631e6,-5.85605751304732e6,-1.8968942581850986e6
-2.3926271429332453e6,290259.46593558835,1.3637057405762984e6
4.809982905267029e6,-2.0693452371118169e6,212748.55613295044
-7.276813924732293e6,-2.2824180716645815e6,1.3913622873950081e6
-2.59780397767976e6,-8.110596642477332e6,562137.3727850621
-1.0947042471034927e6,3.1852804036314585e6,-6.4351124346104525e6
-3.5952564476122335e6,-469755.6452970263,4.156816855157589e6
-2.8259473431047606e6,-6.57637003916329e6,-3.042758133794595e6
-42453.01338638678,3.7447494181561717e6,-7.582813742465763e6
6.548723357878129e6,-3.999734261105126e6,663513.353184061
-6.779198481488927e6,-1.1058338628684203e6,-4.747044147327735e6
9.436514128208337e6,801760.808366833,-4.291923913465167e6
1.8234738432528372e6,-4.759644826460719e6,1.032745507644581e7
-479043.883138442,-2.2905659505403065e6,5.364577537506351e6
-9.587017076249618e6,8.108086420255984e6,-5.117712193321448e6
5.73828298761918e6,4.697789580267311e6,-7.111320871379677e6
6.699999126257972e6,-3.844578605778111e6,-4.677656241917044e6
5.3505587688233e6,-664906.398086969,-1.2367360075871437e6
946188.1559845195,1.0497907732575146e7,-3.1631067228832645e6
164349.3714612281,-5.538113854359713e6,-3.8420973366682124e6
-917624.9222529933,-4.795128493662242e6,1.3381388293329808e6
3.6838299984931867e6,-2.238799568658639e6,3.366757528939167e6
-8.324450252531733e6,-1.2430032358346814e6,5.373814659420421e6
-386490.35217597045,-3.609197069669426e6,663441.6168383209
3.3202263169859583e6,6.871147951783219e6,7.464752230886773e6
-3.2741415924391323e6,-3.664062848438391e6,-3.43192961765472e6
2.9995664133304744e6,325137.36322453077,-4.0094263058239776e6
-7.78297646300664e6,-3.3227568879598025e6,-1.0633965676477248e7
2.5133880309819668e6,698767.8770890455,4.337853157222116e6
-201055.9375795682,2.7374882935649757e6,7.819499286576316e6
238105.5309950891,5.914664442474613e6,-8.99134868109904e6
1.7002095876552628e6,5.119835210016017e6,-4.434963704157893e6
6.884279935529395e6,6.608659842764005e6,3.3489233466533157e6
6.961470653227043e6,870846.7235892661,-6.342788362044103e6
-2.980698658667162e6,-7.6005684979444295e6,-1.031027862800312e6
-2.969033372069897e6,1.5533856305910316e6,-762192.2228569286
-1.2360815565166963e7,-222836.03579480774,6.755419836195329e6
-3.7918746970891277e6,-4.0114541671038605e6,214994.14365919004
1.7524559590008135e6,-1.6417630439262004e6,-3.0872845910133175e6
3.387073935190256e6,-7.695091704644912e6,908015.3174423643
535586.8069762401,-443071.30228594545,-912228.1886156427
1.0543813124819978e6,8.71347615489873e6,-563983.8188059634
2.5821108202243987e6,1.0820529905006167e7,2.587244139378182e6
5.747668769243339e6,-5.234746737588328e6,-4.744667872499729e6
-1.8763720660293135e6,-6.6518814586918205e6,-582387.1029027728
-482914.8094328025,2.798342994456443e6,3.8190788044953533e6
2.9394095017830958e6,1.9769132069667212e6,1.0746256572490327e7
-7.923531072473913e6,-6.48869401045539e6,-3.04234687224437e6
1.1296638266828775e7,1.9705211301768133e6,-9.83494193566713e6
834074.4275104381,-382659.28702492523,4.712705366131308e6
2.164428784833952e6,-1.4033031289564606e6,-3.2016749778295853e6
-4.68985728964146e6,-397024.31533363427,-4.744044622293084e6
